labels_used,accuracy_random_sampling,f1_random_sampling,recall_random_sampling,precision_random_sampling,auc_random_sampling,accuracy_uncertainty_sampling,f1_uncertainty_sampling,recall_uncertainty_sampling,precision_uncertainty_sampling,auc_uncertainty_sampling,accuracy_llm_sampling,f1_llm_sampling,recall_llm_sampling,precision_llm_sampling,auc_llm_sampling
800,0.9319066147859922,0.11764705882352941,0.07567567567567568,0.2641509433962264,0.7502904076895109,0.938715953307393,0.03076923076923077,0.016216216216216217,0.3,0.678261842387403,0.9147211413748378,0.132013201320132,0.10810810810810811,0.1694915254237288,0.7213410029553526
850,0.9315823605706874,0.10970464135021098,0.07027027027027027,0.25,0.7454443750407878,0.9380674448767834,0.030456852791878174,0.016216216216216217,0.25,0.7044609977345403,0.9134241245136187,0.16300940438871472,0.14054054054054055,0.19402985074626866,0.738278810027689
900,0.9315823605706874,0.10970464135021098,0.07027027027027027,0.25,0.7536485088054594,0.938715953307393,0.05025125628140704,0.02702702702702703,0.35714285714285715,0.699909568071003,0.9118028534370947,0.1282051282051282,0.10810810810810811,0.15748031496062992,0.7232689743900506
950,0.9309338521400778,0.11618257261410789,0.07567567567567568,0.25,0.7544353598165258,0.9393644617380026,0.06030150753768844,0.032432432432432434,0.42857142857142855,0.6889533203434549,0.9124513618677043,0.1346153846153846,0.11351351351351352,0.16535433070866143,0.7436170907022925
1000,0.9293125810635539,0.09917355371900827,0.06486486486486487,0.21052631578947367,0.7545845258849742,0.9377431906614786,0.058823529411764705,0.032432432432432434,0.3157894736842105,0.7227301119677801,0.9121271076523995,0.12861736334405144,0.10810810810810811,0.15873015873015872,0.7422279816898651
1050,0.9293125810635539,0.11382113821138211,0.07567567567567568,0.22950819672131148,0.7428190522360927,0.9390402075226978,0.06,0.032432432432432434,0.4,0.7350475000699218,0.9121271076523995,0.12861736334405144,0.10810810810810811,0.15873015873015872,0.7398991264462117
1100,0.9276913099870299,0.10441767068273092,0.07027027027027027,0.203125,0.7539636221250571,0.9396887159533074,0.06060606060606061,0.032432432432432434,0.46153846153846156,0.7264070555550377,0.9098573281452659,0.13664596273291926,0.11891891891891893,0.16058394160583941,0.733811286277654
1150,0.9273670557717251,0.125,0.08648648648648649,0.22535211267605634,0.7566355593261425,0.9396887159533074,0.06060606060606061,0.032432432432432434,0.46153846153846156,0.7374043239514092,0.9150453955901426,0.12080536912751678,0.0972972972972973,0.1592920353982301,0.7333693817998751
1200,0.9315823605706874,0.0944206008583691,0.05945945945945946,0.22916666666666666,0.7546982650121665,0.9406614785992218,0.07106598984771574,0.03783783783783784,0.5833333333333334,0.7350717395560444,0.9118028534370947,0.14465408805031446,0.12432432432432433,0.17293233082706766,0.7427854898706917
1250,0.9309338521400778,0.1087866108786611,0.07027027027027027,0.24074074074074073,0.7621024957347827,0.9396887159533074,0.06060606060606061,0.032432432432432434,0.46153846153846156,0.7247475830435471,0.9072632944228275,0.15384615384615385,0.14054054054054055,0.16993464052287582,0.7540717675246823
