labels_used,accuracy_random_sampling,f1_random_sampling,recall_random_sampling,precision_random_sampling,auc_random_sampling,accuracy_uncertainty_sampling,f1_uncertainty_sampling,recall_uncertainty_sampling,precision_uncertainty_sampling,auc_uncertainty_sampling,accuracy_llm_sampling,f1_llm_sampling,recall_llm_sampling,precision_llm_sampling,auc_llm_sampling
1450,0.9286640726329443,0.08333333333333333,0.05405405405405406,0.18181818181818182,0.7713638440095839,0.9396887159533074,0.06060606060606061,0.032432432432432434,0.46153846153846156,0.7393602640239412,0.9088845654993515,0.21288515406162464,0.20540540540540542,0.22093023255813954,0.7852996839543925
1500,0.9293125810635539,0.06837606837606838,0.043243243243243246,0.16326530612244897,0.7816973234013593,0.9390402075226978,0.06930693069306931,0.03783783783783784,0.4117647058823529,0.7452635111827938,0.9098573281452659,0.22346368715083798,0.21621621621621623,0.23121387283236994,0.7897355099148822
1550,0.9319066147859922,0.10256410256410256,0.06486486486486487,0.24489795918367346,0.7566616633881208,0.9390402075226978,0.06930693069306931,0.03783783783783784,0.4117647058823529,0.7332780175829502,0.9098573281452659,0.21910112359550563,0.21081081081081082,0.22807017543859648,0.7919711363657551
1600,0.9260700389105059,0.088,0.05945945945945946,0.16923076923076924,0.7749736628660396,0.9383916990920882,0.06862745098039216,0.03783783783783784,0.3684210526315789,0.720604495492388,0.9147211413748378,0.21021021021021022,0.1891891891891892,0.23648648648648649,0.7972217819751453
1650,0.9270428015564203,0.06639004149377593,0.043243243243243246,0.14285714285714285,0.7757642430288172,0.9383916990920882,0.06862745098039216,0.03783783783783784,0.3684210526315789,0.7330766433905448,0.9153696498054474,0.21148036253776434,0.1891891891891892,0.23972602739726026,0.8005612373325379
1700,0.9296368352788587,0.0995850622406639,0.06486486486486487,0.21428571428571427,0.7694750286678538,0.9393644617380026,0.07881773399014778,0.043243243243243246,0.4444444444444444,0.7469080670874393,0.9124513618677043,0.20588235294117646,0.1891891891891892,0.22580645161290322,0.7906957664805198
1750,0.930609597924773,0.09322033898305085,0.05945945945945946,0.21568627450980393,0.7766349999533857,0.938715953307393,0.05970149253731343,0.032432432432432434,0.375,0.7566001323848858,0.9147211413748378,0.2420749279538905,0.22702702702702704,0.25925925925925924,0.7994014711503501
1800,0.9309338521400778,0.09361702127659574,0.05945945945945946,0.22,0.7662138854963967,0.9380674448767834,0.06829268292682927,0.03783783783783784,0.35,0.754481974212916,0.9095330739299611,0.2096317280453258,0.2,0.22023809523809523,0.7961104947652033
1850,0.9302853437094682,0.100418410041841,0.06486486486486487,0.2222222222222222,0.7741924055825401,0.9396887159533074,0.07920792079207921,0.043243243243243246,0.47058823529411764,0.7612951343893047,0.9124513618677043,0.21511627906976744,0.2,0.23270440251572327,0.7955250179465426
1900,0.9293125810635539,0.09917355371900827,0.06486486486486487,0.21052631578947367,0.7722681632995534,0.938715953307393,0.06896551724137931,0.03783783783783784,0.3888888888888889,0.762453035995637,0.916018158236057,0.22686567164179106,0.20540540540540542,0.25333333333333335,0.7988607441522239
1950,0.9280155642023347,0.0975609756097561,0.06486486486486487,0.19672131147540983,0.7745504041468168,0.9383916990920882,0.06862745098039216,0.03783783783783784,0.3684210526315789,0.7716043742949572,0.914396887159533,0.21428571428571427,0.1945945945945946,0.23841059602649006,0.7980776222928689
