labels_used,auc_us,f1_us,recall_us,precision_us,accuracy_us
4296,0.8121253367890139,0.08571428571428572,0.04864864864864865,0.36,0.9377431906614786
4346,0.8081985400371051,0.0761904761904762,0.043243243243243246,0.32,0.937094682230869
4396,0.8142267137782834,0.07729468599033816,0.043243243243243246,0.36363636363636365,0.9380674448767834
4446,0.8131061036890634,0.09345794392523364,0.05405405405405406,0.3448275862068966,0.937094682230869
4496,0.8073818558123491,0.08571428571428572,0.04864864864864865,0.36,0.9377431906614786
4546,0.810620624073539,0.0947867298578199,0.05405405405405406,0.38461538461538464,0.9380674448767834
4596,0.8067404417180203,0.07692307692307693,0.043243243243243246,0.34782608695652173,0.9377431906614786
4646,0.8080754780306351,0.09523809523809523,0.05405405405405406,0.4,0.9383916990920882
4696,0.8104938329153576,0.08571428571428572,0.04864864864864865,0.36,0.9377431906614786
4746,0.8062780269058297,0.08571428571428572,0.04864864864864865,0.36,0.9377431906614786
4796,0.8094496704362175,0.0861244019138756,0.04864864864864865,0.375,0.9380674448767834
4846,0.8126735220905625,0.08695652173913043,0.04864864864864865,0.4090909090909091,0.938715953307393
4896,0.8097032527525801,0.08695652173913043,0.04864864864864865,0.4090909090909091,0.938715953307393
4946,0.8057951017592273,0.0861244019138756,0.04864864864864865,0.375,0.9380674448767834
4996,0.8125038456877023,0.07655502392344497,0.043243243243243246,0.3333333333333333,0.9374189364461738
5046,0.8083943205019438,0.0761904761904762,0.043243243243243246,0.32,0.937094682230869
5096,0.8098169918797721,0.07655502392344497,0.043243243243243246,0.3333333333333333,0.9374189364461738
5146,0.81346410225334,0.0966183574879227,0.05405405405405406,0.45454545454545453,0.9393644617380026
5196,0.8018813570383079,0.06666666666666667,0.03783783783783784,0.28,0.9364461738002594
5246,0.8044022635950887,0.09523809523809523,0.05405405405405406,0.4,0.9383916990920882
5296,0.806537202949759,0.07729468599033816,0.043243243243243246,0.36363636363636365,0.9380674448767834
5346,0.8094384829810838,0.0861244019138756,0.04864864864864865,0.375,0.9380674448767834
5396,0.8020752729272907,0.07804878048780488,0.043243243243243246,0.4,0.938715953307393
5446,0.8083327894987089,0.08780487804878048,0.04864864864864865,0.45,0.9393644617380026
5496,0.8076988337078024,0.07881773399014778,0.043243243243243246,0.4444444444444444,0.9393644617380026
5546,0.8058081537902168,0.09615384615384616,0.05405405405405406,0.43478260869565216,0.9390402075226978
5596,0.8054184574363947,0.0861244019138756,0.04864864864864865,0.375,0.9380674448767834
5646,0.799957114755321,0.07692307692307693,0.043243243243243246,0.34782608695652173,0.9377431906614786
5696,0.8061363191408035,0.09433962264150944,0.05405405405405406,0.37037037037037035,0.9377431906614786
5746,0.8015103064430418,0.08571428571428572,0.04864864864864865,0.36,0.9377431906614786
5796,0.8023549593056319,0.0966183574879227,0.05405405405405406,0.45454545454545453,0.9393644617380026
5846,0.8072196377129113,0.09569377990430622,0.05405405405405406,0.4166666666666667,0.938715953307393
5896,0.8041766499165603,0.06930693069306931,0.03783783783783784,0.4117647058823529,0.9390402075226978
5946,0.8096156176873666,0.0891089108910891,0.04864864864864865,0.5294117647058824,0.940337224383917
5996,0.802996373399961,0.08780487804878048,0.04864864864864865,0.45,0.9393644617380026
6046,0.8028938217279025,0.07920792079207921,0.043243243243243246,0.47058823529411764,0.9396887159533074
6096,0.8057428936352702,0.08823529411764706,0.04864864864864865,0.47368421052631576,0.9396887159533074
6146,0.8051760625751657,0.0966183574879227,0.05405405405405406,0.45454545454545453,0.9393644617380026
6196,0.8095466283807092,0.07881773399014778,0.043243243243243246,0.4444444444444444,0.9393644617380026
6246,0.805754081090404,0.0970873786407767,0.05405405405405406,0.47619047619047616,0.9396887159533074
6296,0.8118959939587742,0.08530805687203792,0.04864864864864865,0.34615384615384615,0.9374189364461738
6346,0.8081817588544046,0.07766990291262135,0.043243243243243246,0.38095238095238093,0.9383916990920882
6396,0.8075403447600757,0.08571428571428572,0.04864864864864865,0.36,0.9377431906614786
6446,0.8108052170832439,0.09569377990430622,0.05405405405405406,0.4166666666666667,0.938715953307393
6496,0.8086068821494831,0.08780487804878048,0.04864864864864865,0.45,0.9393644617380026
6546,0.8073613454779374,0.07766990291262135,0.043243243243243246,0.38095238095238093,0.9383916990920882
6596,0.8055974567185329,0.10576923076923077,0.05945945945945946,0.4782608695652174,0.9396887159533074
6646,0.8103875520915879,0.10576923076923077,0.05945945945945946,0.4782608695652174,0.9396887159533074
6696,0.8120805869684795,0.0861244019138756,0.04864864864864865,0.375,0.9380674448767834
6746,0.8063414224849202,0.0970873786407767,0.05405405405405406,0.47619047619047616,0.9396887159533074
6796,0.8074508451190066,0.09523809523809523,0.05405405405405406,0.4,0.9383916990920882
6846,0.8073911786916271,0.07804878048780488,0.043243243243243246,0.4,0.938715953307393
6896,0.8086385799390284,0.07692307692307693,0.043243243243243246,0.34782608695652173,0.9377431906614786
6946,0.8142528178402618,0.09615384615384616,0.05405405405405406,0.43478260869565216,0.9390402075226978
6996,0.8098990332174189,0.0861244019138756,0.04864864864864865,0.375,0.9380674448767834
7046,0.8109003104518799,0.09523809523809523,0.05405405405405406,0.4,0.9383916990920882
7096,0.8094589933154955,0.08737864077669903,0.04864864864864865,0.42857142857142855,0.9390402075226978
7146,0.8105050203704913,0.07729468599033816,0.043243243243243246,0.36363636363636365,0.9380674448767834
7196,0.8109692997585375,0.0975609756097561,0.05405405405405406,0.5,0.9400129701686122
7246,0.8193953180500265,0.09615384615384616,0.05405405405405406,0.43478260869565216,0.9390402075226978
7296,0.8167233808489414,0.08780487804878048,0.04864864864864865,0.45,0.9393644617380026
7346,0.809755460876537,0.08653846153846154,0.04864864864864865,0.391304347826087,0.9383916990920882
7396,0.8114298499948723,0.08866995073891626,0.04864864864864865,0.5,0.9400129701686122
7446,0.812500116535991,0.09569377990430622,0.05405405405405406,0.4166666666666667,0.938715953307393
7496,0.8123528150433982,0.09900990099009901,0.05405405405405406,0.5882352941176471,0.9409857328145266
7546,0.8095783261702545,0.07804878048780488,0.043243243243243246,0.4,0.938715953307393
7596,0.811769202800593,0.10628019323671498,0.05945945945945946,0.5,0.9400129701686122
7646,0.8122502633713395,0.09803921568627451,0.05405405405405406,0.5263157894736842,0.940337224383917
7696,0.8103129690573638,0.0975609756097561,0.05405405405405406,0.5,0.9400129701686122
7746,0.8126250431183167,0.11707317073170732,0.06486486486486487,0.6,0.9413099870298314
7796,0.8115585057289093,0.0970873786407767,0.05405405405405406,0.47619047619047616,0.9396887159533074
7846,0.8115044330290968,0.1073170731707317,0.05945945945945946,0.55,0.9406614785992218
7896,0.8102216048404389,0.09803921568627451,0.05405405405405406,0.5263157894736842,0.940337224383917
7946,0.8073986369950497,0.09615384615384616,0.05405405405405406,0.43478260869565216,0.9390402075226978
7996,0.8148140551727995,0.0975609756097561,0.05405405405405406,0.5,0.9400129701686122
