labels_used,accuracy,f1,recall,precision,auc,sim_id,seed
1700,0.9299610894941635,0.06086956521739131,0.03783783783783784,0.15555555555555556,0.7698964228112211,0,42
1750,0.9328793774319066,0.0547945205479452,0.032432432432432434,0.17647058823529413,0.7923123537473313,0,42
1800,0.9315823605706874,0.07048458149779736,0.043243243243243246,0.19047619047619047,0.8032443619887566,0,42
1850,0.9325551232166018,0.06306306306306306,0.03783783783783784,0.1891891891891892,0.791074275379208,0,42
1900,0.933852140077821,0.09734513274336283,0.05945945945945946,0.2682926829268293,0.7841026262550926,0,42
1950,0.9299610894941635,0.06086956521739131,0.03783783783783784,0.15555555555555556,0.7793069371544707,0,42
2000,0.932230869001297,0.07111111111111111,0.043243243243243246,0.2,0.7868249070042792,0,42
2050,0.9319066147859922,0.10256410256410256,0.06486486486486487,0.24489795918367346,0.7855775057568779,0,42
2100,0.9341763942931258,0.11353711790393013,0.07027027027027027,0.29545454545454547,0.7939587742278326,0,42
2150,0.930609597924773,0.08547008547008547,0.05405405405405406,0.20408163265306123,0.7877739761147834,0,42
2200,0.9325551232166018,0.07964601769911504,0.04864864864864865,0.21951219512195122,0.7887454201355548,0,42
2250,0.933852140077821,0.07272727272727272,0.043243243243243246,0.22857142857142856,0.7871586660824328,0,42
2300,0.9341763942931258,0.13617021276595745,0.08648648648648649,0.32,0.7932427770992794,0,42
2350,0.9345006485084306,0.11403508771929824,0.07027027027027027,0.3023255813953488,0.7916877208357029,0,42
2400,0.9328793774319066,0.0881057268722467,0.05405405405405406,0.23809523809523808,0.7929090180211256,0,42
2450,0.9325551232166018,0.06306306306306306,0.03783783783783784,0.1891891891891892,0.7831050781723428,0,42
200,0.9241245136186771,0.07874015748031496,0.05405405405405406,0.14492753623188406,0.6220253022943606,1,43
250,0.9254215304798963,0.07258064516129033,0.04864864864864865,0.14285714285714285,0.6175484556650477,1,43
300,0.9247730220492867,0.1076923076923077,0.07567567567567568,0.18666666666666668,0.696586893896311,1,43
350,0.9257457846952011,0.14232209737827714,0.10270270270270271,0.23170731707317074,0.7174925183893793,1,43
400,0.9231517509727627,0.12546125461254612,0.0918918918918919,0.19767441860465115,0.7273952807585096,1,43
450,0.9283398184176395,0.12648221343873517,0.08648648648648649,0.23529411764705882,0.7020184033636949,1,43
500,0.9263942931258107,0.13026819923371646,0.0918918918918919,0.2236842105263158,0.7107800453091933,1,43
550,0.9289883268482491,0.1411764705882353,0.0972972972972973,0.2571428571428571,0.7109907423808769,1,43
600,0.9283398184176395,0.13333333333333333,0.0918918918918919,0.24285714285714285,0.7111529604803148,1,43
650,0.9283398184176395,0.12648221343873517,0.08648648648648649,0.23529411764705882,0.7341021601111287,1,43
700,0.9276913099870299,0.12549019607843137,0.08648648648648649,0.22857142857142856,0.7210743686080009,1,43
750,0.9250972762645915,0.10116731517509728,0.07027027027027027,0.18055555555555555,0.7187846694573152,1,43
800,0.9283398184176395,0.11244979919678715,0.07567567567567568,0.21875,0.7035454909894373,1,43
850,0.9267185473411155,0.10317460317460317,0.07027027027027027,0.19402985074626866,0.6952723679181078,1,43
900,0.9257457846952011,0.08764940239043825,0.05945945945945946,0.16666666666666666,0.7046828822613577,1,43
950,0.9276913099870299,0.11155378486055777,0.07567567567567568,0.21212121212121213,0.7154731827377567,1,43
1000,0.9257457846952011,0.14232209737827714,0.10270270270270271,0.23170731707317074,0.7128739639950402,1,43
1050,0.9254215304798963,0.11538461538461539,0.08108108108108109,0.2,0.7176901634300736,1,43
1100,0.9244487678339819,0.11406844106463879,0.08108108108108109,0.19230769230769232,0.7283779122344146,1,43
1150,0.9260700389105059,0.12307692307692308,0.08648648648648649,0.21333333333333335,0.7303953833101815,1,43
1200,0.9270428015564203,0.11067193675889328,0.07567567567567568,0.20588235294117646,0.7275668217372253,1,43
1250,0.9260700389105059,0.09523809523809523,0.06486486486486487,0.1791044776119403,0.7130361820944779,1,43
1300,0.9270428015564203,0.10358565737051793,0.07027027027027027,0.19696969696969696,0.7300429784734718,1,43
1350,0.9267185473411155,0.096,0.06486486486486487,0.18461538461538463,0.7290547532699998,1,43
1400,0.9280155642023347,0.08264462809917356,0.05405405405405406,0.17543859649122806,0.7344247317341489,1,43
1450,0.9293125810635539,0.08403361344537816,0.05405405405405406,0.18867924528301888,0.7404659575063162,1,43
1500,0.9315823605706874,0.10212765957446808,0.06486486486486487,0.24,0.7355304252165239,1,43
1550,0.9289883268482491,0.09876543209876543,0.06486486486486487,0.20689655172413793,0.7523805972236466,1,43
1600,0.9312581063553826,0.11666666666666667,0.07567567567567568,0.2545454545454545,0.7430670408248884,1,43
1650,0.9299610894941635,0.0847457627118644,0.05405405405405406,0.19607843137254902,0.7458545817290212,1,43
1700,0.9309338521400778,0.06986899563318777,0.043243243243243246,0.18181818181818182,0.7375068756234676,1,43
1750,0.9309338521400778,0.10126582278481013,0.06486486486486487,0.23076923076923078,0.7364291507789266,1,43
1800,0.932230869001297,0.09523809523809523,0.05945945945945946,0.2391304347826087,0.7456382909297707,1,43
1850,0.9299610894941635,0.06896551724137931,0.043243243243243246,0.1702127659574468,0.7425897094058529,1,43
1900,0.9293125810635539,0.0603448275862069,0.03783783783783784,0.14893617021276595,0.7426624278642217,1,43
1950,0.9296368352788587,0.06060606060606061,0.03783783783783784,0.15217391304347827,0.744193244641675,1,43
2000,0.9286640726329443,0.06779661016949153,0.043243243243243246,0.1568627450980392,0.7452467300000932,1,43
2050,0.9289883268482491,0.06808510638297872,0.043243243243243246,0.16,0.7498466386358764,1,43
2100,0.9325551232166018,0.08771929824561403,0.05405405405405406,0.23255813953488372,0.7352693845967387,1,43
2150,0.9309338521400778,0.12345679012345678,0.08108108108108109,0.25862068965517243,0.7431956965589253,1,43
2200,0.9276913099870299,0.10441767068273092,0.07027027027027027,0.203125,0.7504283863028257,1,43
2250,0.9319066147859922,0.11016949152542373,0.07027027027027027,0.2549019607843137,0.7423435853929128,1,43
2300,0.9319066147859922,0.11016949152542373,0.07027027027027027,0.2549019607843137,0.73711531469379,1,43
2350,0.9312581063553826,0.1016949152542373,0.06486486486486487,0.23529411764705882,0.7507434996224235,1,43
2400,0.9319066147859922,0.10256410256410256,0.06486486486486487,0.24489795918367346,0.7615785499193571,1,43
2450,0.9276913099870299,0.08979591836734693,0.05945945945945946,0.18333333333333332,0.7532811873619049,1,43
200,0.9182879377431906,0.06666666666666667,0.04864864864864865,0.10588235294117647,0.6714608019540755,2,44
250,0.919260700389105,0.10108303249097472,0.07567567567567568,0.15217391304347827,0.7200003729151712,2,44
300,0.9270428015564203,0.058577405857740586,0.03783783783783784,0.12962962962962962,0.7050147767636558,2,44
350,0.9182879377431906,0.10638297872340426,0.08108108108108109,0.15463917525773196,0.7072336220318283,2,44
400,0.9163424124513618,0.07857142857142857,0.05945945945945946,0.11578947368421053,0.7055163476688141,2,44
450,0.9166666666666666,0.09187279151943463,0.07027027027027027,0.1326530612244898,0.7048618815434959,2,44
500,0.917639429312581,0.11805555555555555,0.0918918918918919,0.1650485436893204,0.7249116657188408,2,44
550,0.919260700389105,0.12014134275618374,0.0918918918918919,0.17346938775510204,0.7196255931681941,2,44
600,0.9270428015564203,0.13127413127413126,0.0918918918918919,0.22972972972972974,0.7248165723502046,2,44
650,0.9244487678339819,0.12075471698113208,0.08648648648648649,0.2,0.7278707476016893,2,44
700,0.9225032425421531,0.14336917562724014,0.10810810810810811,0.2127659574468085,0.7534489991889095,2,44
750,0.917639429312581,0.11805555555555555,0.0918918918918919,0.1650485436893204,0.7508628324771823,2,44
800,0.9202334630350194,0.16326530612244897,0.12972972972972974,0.22018348623853212,0.7478142509532645,2,44
850,0.9218547341115434,0.1602787456445993,0.12432432432432433,0.22549019607843138,0.7527087625742335,2,44
900,0.9244487678339819,0.12734082397003746,0.0918918918918919,0.2073170731707317,0.757620055377903,2,44
950,0.9267185473411155,0.13076923076923078,0.0918918918918919,0.22666666666666666,0.7474804918751108,2,44
1000,0.9263942931258107,0.13688212927756654,0.0972972972972973,0.23076923076923078,0.7435387785163571,2,44
1050,0.9270428015564203,0.11764705882352941,0.08108108108108109,0.21428571428571427,0.7462554655379767,2,44
1100,0.9263942931258107,0.13026819923371646,0.0918918918918919,0.2236842105263158,0.7576163262261917,2,44
1150,0.9241245136186771,0.10687022900763359,0.07567567567567568,0.18181818181818182,0.7565404659575065,2,44
1200,0.9189364461738002,0.09420289855072464,0.07027027027027027,0.14285714285714285,0.7570420368626647,2,44
1250,0.9231517509727627,0.13186813186813187,0.0972972972972973,0.20454545454545456,0.7558431145875093,2,44
1300,0.9199092088197146,0.11469534050179211,0.08648648648648649,0.1702127659574468,0.759628203574392,2,44
1350,0.9199092088197146,0.10830324909747292,0.08108108108108109,0.16304347826086957,0.766816143497758,2,44
1400,0.920881971465629,0.10294117647058823,0.07567567567567568,0.16091954022988506,0.7647893495427127,2,44
1450,0.9238002594033723,0.11320754716981132,0.08108108108108109,0.1875,0.7593988607441523,2,44
1500,0.9231517509727627,0.08494208494208494,0.05945945945945946,0.14864864864864866,0.7656601064672814,2,44
1550,0.9225032425421531,0.0842911877394636,0.05945945945945946,0.14473684210526316,0.7681586381137951,2,44
1600,0.9215304798962386,0.07633587786259542,0.05405405405405406,0.12987012987012986,0.7653710972096623,2,44
1650,0.9195849546044098,0.10144927536231885,0.07567567567567568,0.15384615384615385,0.7722830799063983,2,44
1700,0.9221789883268483,0.09090909090909091,0.06486486486486487,0.1518987341772152,0.7634953338989214,2,44
1750,0.916018158236057,0.07829181494661921,0.05945945945945946,0.11458333333333333,0.7505831460988412,2,44
1800,0.9189364461738002,0.10071942446043165,0.07567567567567568,0.15053763440860216,0.7580358557937033,2,44
1850,0.9189364461738002,0.10714285714285714,0.08108108108108109,0.15789473684210525,0.7705210557228495,2,44
1900,0.9231517509727627,0.09885931558935361,0.07027027027027027,0.16666666666666666,0.7647408705704669,2,44
1950,0.9241245136186771,0.12030075187969924,0.08648648648648649,0.19753086419753085,0.7691636444999674,2,44
2000,0.9257457846952011,0.10894941634241245,0.07567567567567568,0.19444444444444445,0.7660330216384028,2,44
2050,0.9221789883268483,0.11764705882352941,0.08648648648648649,0.1839080459770115,0.7709797413833288,2,44
2100,0.9199092088197146,0.10830324909747292,0.08108108108108109,0.16304347826086957,0.7777835786804398,2,44
2150,0.9225032425421531,0.10486891385767791,0.07567567567567568,0.17073170731707318,0.7783429514371218,2,44
2200,0.9257457846952011,0.11583011583011583,0.08108108108108109,0.20270270270270271,0.7863662213437997,2,44
2250,0.9238002594033723,0.1198501872659176,0.08648648648648649,0.1951219512195122,0.7858310880732406,2,44
2300,0.9267185473411155,0.12403100775193798,0.08648648648648649,0.2191780821917808,0.7854768186606752,2,44
2350,0.9247730220492867,0.11450381679389313,0.08108108108108109,0.19480519480519481,0.7894353132021292,2,44
2400,0.9228274967574579,0.09848484848484848,0.07027027027027027,0.16455696202531644,0.7912719204199025,2,44
2450,0.9234760051880675,0.08527131782945736,0.05945945945945946,0.1506849315068493,0.7918238348731622,2,44
200,0.9186121919584954,0.08727272727272728,0.06486486486486487,0.13333333333333333,0.649320828244595,3,45
250,0.9234760051880675,0.03278688524590164,0.021621621621621623,0.06779661016949153,0.6722728247391926,3,45
300,0.9215304798962386,0.06201550387596899,0.043243243243243246,0.1095890410958904,0.7111436376010367,3,45
350,0.9231517509727627,0.08494208494208494,0.05945945945945946,0.14864864864864866,0.7163271584796249,3,45
400,0.9228274967574579,0.09848484848484848,0.07027027027027027,0.16455696202531644,0.6992178104285728,3,45
450,0.9247730220492867,0.1076923076923077,0.07567567567567568,0.18666666666666668,0.688235458639046,3,45
500,0.9199092088197146,0.10830324909747292,0.08108108108108109,0.16304347826086957,0.6912523423734187,3,45
550,0.9270428015564203,0.11067193675889328,0.07567567567567568,0.20588235294117646,0.6807379991236494,3,45
600,0.9302853437094682,0.0851063829787234,0.05405405405405406,0.2,0.6835441857863384,3,45
650,0.9276913099870299,0.11857707509881422,0.08108108108108109,0.22058823529411764,0.6775812722001063,3,45
700,0.9283398184176395,0.14007782101167315,0.0972972972972973,0.25,0.7300914574457176,3,45
750,0.9276913099870299,0.12549019607843137,0.08648648648648649,0.22857142857142856,0.7595144644471998,3,45
800,0.9250972762645915,0.14760147601476015,0.10810810810810811,0.23255813953488372,0.7528616577943932,3,45
850,0.9199092088197146,0.15699658703071673,0.12432432432432433,0.21296296296296297,0.7290174617528878,3,45
900,0.9254215304798963,0.14814814814814814,0.10810810810810811,0.23529411764705882,0.7406822483055668,3,45
950,0.9221789883268483,0.14285714285714285,0.10810810810810811,0.21052631578947367,0.7605101479540942,3,45
1000,0.9238002594033723,0.16370106761565836,0.12432432432432433,0.23958333333333334,0.763073939755554,3,45
1050,0.9228274967574579,0.1736111111111111,0.13513513513513514,0.24271844660194175,0.7513159244100949,3,45
1100,0.9199092088197146,0.13333333333333333,0.10270270270270271,0.19,0.7570961095624773,3,45
1150,0.9221789883268483,0.15492957746478872,0.11891891891891893,0.2222222222222222,0.7576200553779028,3,45
1200,0.9225032425421531,0.11808118081180811,0.08648648648648649,0.18604651162790697,0.7700325368486802,3,45
1250,0.9302853437094682,0.17624521072796934,0.12432432432432433,0.3026315789473684,0.7739500107213112,3,45
1300,0.9263942931258107,0.14339622641509434,0.10270270270270271,0.2375,0.7803473704818997,3,45
1350,0.9234760051880675,0.1386861313868613,0.10270270270270271,0.21348314606741572,0.7864874187744144,3,45
1400,0.9234760051880675,0.1323529411764706,0.0972972972972973,0.20689655172413793,0.7826109655706068,3,45
1450,0.9250972762645915,0.1348314606741573,0.0972972972972973,0.21951219512195122,0.7815313761502103,3,45
1500,0.9218547341115434,0.1423487544483986,0.10810810810810811,0.20833333333333334,0.7864389398021685,3,45
1550,0.9225032425421531,0.1371841155234657,0.10270270270270271,0.20652173913043478,0.7845519890362941,3,45
1600,0.9257457846952011,0.14232209737827714,0.10270270270270271,0.23170731707317074,0.7879007672729645,3,45
1650,0.9276913099870299,0.1520912547528517,0.10810810810810811,0.2564102564102564,0.7834090040368068,3,45
1700,0.9283398184176395,0.14007782101167315,0.0972972972972973,0.25,0.7686881776567877,3,45
1750,0.9276913099870299,0.13229571984435798,0.0918918918918919,0.2361111111111111,0.7713992709508405,3,45
1800,0.9250972762645915,0.12167300380228137,0.08648648648648649,0.20512820512820512,0.7596934637293383,3,45
