iter	Passed	Remaining
960	3582	145
961	3586	141
962	3589	137
963	3593	134
964	3596	130
965	3600	126
966	3604	122
967	3607	119
968	3611	115
969	3615	111
970	3619	108
971	3622	104
972	3626	100
973	3630	96
974	3633	93
975	3637	89
976	3641	85
977	3645	81
978	3648	78
979	3652	74
980	3657	70
981	3661	67
982	3664	63
983	3668	59
984	3671	55
985	3676	52
986	3680	48
987	3683	44
988	3687	41
989	3690	37
990	3694	33
991	3698	29
992	3701	26
993	3705	22
994	3708	18
995	3712	14
996	3716	11
997	3719	7
998	3723	3
999	3727	0
